Condition 2,Garage Cond,Overall Qual,Land Contour,Heating,Enclosed Porch,Lot Shape,Kitchen AbvGr,Garage Finish,Lot Area,Bsmt Exposure,Electrical,Functional,Alley,Land Slope,Fireplaces,Wood Deck SF,Garage Type,Year Remod/Add,MS SubClass,Bldg Type,Exter Cond,BsmtFin Type 2,Exterior 1st,Id,PID,Roof Matl,Overall Cond,Low Qual Fin SF,Screen Porch,Exter Qual,Kitchen Qual,BsmtFin SF 1,Roof Style,Utilities,BsmtFin Type 1,Bsmt Unf SF,Sale Type,Year Built,Mas Vnr Area,Bsmt Full Bath,Misc Feature,Fence,Garage Area,Exterior 2nd,Mas Vnr Type,MS Zoning,3Ssn Porch,Mo Sold,1st Flr SF,2nd Flr SF,Garage Qual,Half Bath,Central Air,Condition 1,BsmtFin SF 2,Foundation,Bsmt Qual,Pool QC,Bsmt Cond,Lot Config,Bedroom AbvGr,Full Bath,Total Bsmt SF,Garage Cars,Heating QC,Bsmt Half Bath,Pool Area,Yr Sold,Paved Drive,Misc Val,Gr Liv Area,SalePrice,House Style,Street,TotRms AbvGrd,Neighborhood,Fireplace Qu,Open Porch SF
Norm,TA,6,Lvl,GasA,0.0,IR1,1,RFn,13517.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,2005,60,1Fam,TA,Unf,HdBoard,109,533352170,CompShg,8,0.0,0.0,Gd,Gd,533.0,Gable,AllPub,GLQ,192.0,WD,1976,289.0,0,NA,NA,475.0,Plywood,BrkFace,RL,0.0,3,725.0,754.0,TA,1,Y,RRAe,0.0,CBlock,TA,NA,TA,CulDSac,3,2,725.0,2,Ex,0,0.0,2010,Y,0.0,1479.0,130500.0,2Story,Pave,6,Sawyer,NA,44.0
Norm,TA,7,Lvl,GasA,0.0,IR1,1,RFn,11492.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1997,60,1Fam,TA,Unf,VinylSd,544,531379050,CompShg,5,0.0,0.0,Gd,Gd,637.0,Gable,AllPub,GLQ,276.0,WD,1996,132.0,1,NA,NA,559.0,VinylSd,BrkFace,RL,0.0,4,913.0,1209.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,CulDSac,4,2,913.0,2,Ex,0,0.0,2009,Y,0.0,2122.0,220000.0,2Story,Pave,8,SawyerW,TA,74.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,7922.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,2007,20,1Fam,Gd,Unf,VinylSd,153,535304180,CompShg,7,0.0,0.0,TA,Gd,731.0,Gable,AllPub,GLQ,326.0,WD,1953,0.0,1,NA,NA,246.0,VinylSd,None,RL,0.0,1,1057.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1057.0,1,TA,0,0.0,2010,Y,0.0,1057.0,109000.0,1Story,Pave,5,Names,NA,52.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Fin,9802.0,No,SBrkr,Typ,NA,Gtl,0,100.0,BuiltIn,2007,60,1Fam,TA,Unf,VinylSd,318,916386060,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,384.0,WD,2006,0.0,0,NA,NA,400.0,VinylSd,None,RL,0.0,4,744.0,700.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,384.0,2,Gd,0,0.0,2010,Y,0.0,1444.0,174000.0,2Story,Pave,7,Timber,NA,0.0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,Unf,14235.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1993,50,1Fam,TA,Unf,Wd Sdng,255,906425045,CompShg,8,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,676.0,WD,1900,0.0,0,NA,NA,484.0,Plywood,None,RL,0.0,3,831.0,614.0,TA,0,Y,Norm,0.0,PConc,Fa,NA,Gd,Inside,3,2,676.0,2,TA,0,0.0,2010,N,0.0,1445.0,138500.0,1.5Fin,Pave,6,SawyerW,NA,59.0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,Fin,16492.0,No,SBrkr,Mod,NA,Gtl,1,0.0,Attchd,2002,20,1Fam,TA,Rec,BrkFace,138,535126040,CompShg,6,0.0,0.0,Gd,Gd,247.0,Gable,AllPub,ALQ,557.0,WD,1966,0.0,0,NA,NA,578.0,Plywood,None,RL,0.0,6,1888.0,0.0,TA,1,Y,PosA,713.0,CBlock,TA,NA,TA,Corner,2,2,1517.0,2,Ex,0,0.0,2010,Y,0.0,1888.0,190000.0,1Story,Pave,6,Names,Gd,0.0
Norm,TA,6,Lvl,GasA,0.0,Reg,1,Fin,3675.0,Gd,SBrkr,Typ,NA,Gtl,0,0.0,Basment,2006,180,TwnhsE,TA,Unf,VinylSd,2827,908186070,CompShg,5,0.0,0.0,TA,TA,547.0,Gable,AllPub,GLQ,0.0,New,2005,82.0,1,NA,NA,525.0,VinylSd,BrkFace,RM,0.0,6,1072.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,2,2,547.0,2,Gd,0,0.0,2006,Y,0.0,1072.0,140000.0,SFoyer,Pave,5,Edwards,NA,44.0
Norm,TA,5,Lvl,GasA,0.0,IR1,1,RFn,12160.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,1959,20,1Fam,TA,Unf,Plywood,145,535154050,CompShg,5,0.0,0.0,TA,TA,1000.0,Hip,AllPub,Rec,188.0,COD,1959,180.0,1,NA,MnPrv,531.0,Plywood,BrkFace,RL,0.0,5,1188.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1188.0,2,Fa,0,0.0,2010,Y,0.0,1188.0,142000.0,1Story,Pave,6,Names,NA,0.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,15783.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1952,20,1Fam,TA,Unf,Wd Sdng,1942,535353130,CompShg,5,0.0,0.0,TA,TA,292.0,Gable,AllPub,Rec,632.0,WD,1952,0.0,0,Shed,MnPrv,420.0,Wd Sdng,None,RL,0.0,6,924.0,0.0,TA,0,Y,Artery,0.0,CBlock,TA,NA,TA,Inside,2,1,924.0,1,TA,0,0.0,2007,Y,400.0,924.0,112500.0,1Story,Pave,6,OldTown,NA,324.0
Norm,TA,5,HLS,GasA,0.0,IR1,1,Unf,11606.0,Av,SBrkr,Typ,NA,Sev,2,335.0,Attchd,1969,60,1Fam,TA,Unf,Plywood,1956,535426130,CompShg,5,0.0,0.0,TA,Fa,650.0,Gable,AllPub,Rec,390.0,WD,1969,192.0,0,NA,NA,504.0,Plywood,BrkFace,RL,0.0,9,1040.0,1040.0,TA,2,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,5,1,1040.0,2,TA,1,0.0,2007,Y,0.0,2080.0,135000.0,2Story,Pave,9,Names,TA,0.0
Norm,TA,6,Lvl,GasA,0.0,Reg,1,Unf,1680.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1971,160,TwnhsI,TA,Unf,HdBoard,1044,527451290,CompShg,5,0.0,0.0,TA,TA,387.0,Gable,AllPub,ALQ,96.0,COD,1971,232.0,0,NA,NA,264.0,HdBoard,BrkFace,RM,0.0,7,483.0,504.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,2,1,483.0,1,TA,0,0.0,2008,Y,0.0,987.0,85400.0,2Story,Pave,4,BrDale,NA,0.0
