Garage Cond,Overall Qual,Enclosed Porch,Lot Shape,Kitchen AbvGr,Lot Area,Bsmt Exposure,Functional,Land Slope,Fireplaces,Wood Deck SF,Year Remod/Add,Exter Cond,BsmtFin Type 2,Id,PID,Overall Cond,Low Qual Fin SF,Screen Porch,Exter Qual,Kitchen Qual,BsmtFin SF 1,Utilities,BsmtFin Type 1,Bsmt Unf SF,Year Built,Mas Vnr Area,Bsmt Full Bath,Garage Area,3Ssn Porch,Mo Sold,1st Flr SF,2nd Flr SF,Garage Qual,Half Bath,BsmtFin SF 2,Bsmt Qual,Pool QC,Bsmt Cond,Bedroom AbvGr,Full Bath,Total Bsmt SF,Garage Cars,Heating QC,Bsmt Half Bath,Pool Area,Yr Sold,Misc Val,Gr Liv Area,SalePrice,TotRms AbvGrd,Fireplace Qu,Open Porch SF,log-Lot Area,log-1st Flr SF,log-Gr Liv Area,log-SalePrice,yr_since_built,yr_since_remod,is_built_recently,is_remod_recently,has_alley,is_pave_alley,near_major_street,near_rail,near_offsite,ext_VinylSd,ext_MetalSd,ext_HdBoard,ext_Wd Sdng,ext_Plywood,ext_CemntBd,ext_BrkFace,ext_WdShing,ext_AsbShng,ext_Stucco,ext_BrkComm,ext_Stone,ext_CBlock,ext_ImStucc,ext_AsphShn,has_aircon,has_std_cb,is_garage_attached,has_garage,is_garage_finished,ldctour_HLS,ldctour_Low,ldctour_Lvl,ltcfig_CulDSac,ltcfig_FR2,ltcfig_FR3,ltcfig_Inside,nhood_Blueste,nhood_BrDale,nhood_BrkSide,nhood_ClearCr,nhood_CollgCr,nhood_Crawfor,nhood_Edwards,nhood_Gilbert,nhood_Greens,nhood_GrnHill,nhood_IDOTRR,nhood_Landmrk,nhood_MeadowV,nhood_Mitchel,nhood_NPkVill,nhood_NWAmes,nhood_Names,nhood_NoRidge,nhood_NridgHt,nhood_OldTown,nhood_SWISU,nhood_Sawyer,nhood_SawyerW,nhood_Somerst,nhood_StoneBr,nhood_Timber,nhood_Veenker,rfstyle_Gable,rfstyle_Gambrel,rfstyle_Hip,rfstyle_Mansard,rfstyle_Shed,mvtype_BrkFace,mvtype_None,mvtype_Stone,found_CBlock,found_PConc,found_Slab,found_Stone,found_Wood,fence_GdWo,fence_MnPrv,fence_MnWw,fence_NA,sltype_CWD,sltype_Con,sltype_ConLD,sltype_ConLI,sltype_ConLw,sltype_New,sltype_Oth,sltype_WD,mszone_C,mszone_FV,mszone_I,mszone_RH,mszone_RL,mszone_RM
TA,6,0.0,IR1,1,13517.0,No,Typ,Gtl,0,0.0,2005,TA,Unf,109,533352170,8,0.0,0.0,Gd,Gd,533.0,AllPub,GLQ,192.0,1976,289.0,0,475.0,0.0,3,725.0,754.0,TA,1,0.0,TA,NA,TA,3,2,725.0,2,Ex,0,0.0,2010,0.0,1479.0,130500.0,6,NA,44.0,9.511703431483827,6.586171654854675,7.2991214627108,11.779128505744886,34,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,7,0.0,IR1,1,11492.0,No,Typ,Gtl,1,0.0,1997,TA,Unf,544,531379050,5,0.0,0.0,Gd,Gd,637.0,AllPub,GLQ,276.0,1996,132.0,1,559.0,0.0,4,913.0,1209.0,TA,1,0.0,Gd,NA,TA,4,2,913.0,2,Ex,0,0.0,2009,0.0,2122.0,220000.0,8,TA,74.0,9.34940642009918,6.816735880594968,7.660114319173928,12.301382825334498,13,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,5,0.0,Reg,1,7922.0,No,Typ,Gtl,0,0.0,2007,Gd,Unf,153,535304180,7,0.0,0.0,TA,Gd,731.0,AllPub,GLQ,326.0,1953,0.0,1,246.0,0.0,1,1057.0,0.0,TA,0,0.0,TA,NA,TA,3,1,1057.0,1,TA,0,0.0,2010,0.0,1057.0,109000.0,5,NA,52.0,8.977398978181862,6.963189985870238,6.963189985870238,11.59910316121128,57,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,5,0.0,Reg,1,9802.0,No,Typ,Gtl,0,100.0,2007,TA,Unf,318,916386060,5,0.0,0.0,TA,TA,0.0,AllPub,Unf,384.0,2006,0.0,0,400.0,0.0,4,744.0,700.0,TA,1,0.0,Gd,NA,TA,3,2,384.0,2,Gd,0,0.0,2010,0.0,1444.0,174000.0,7,NA,0.0,9.190341725469493,6.612041034833092,7.275172319452771,12.066810578196666,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,6,0.0,IR1,1,14235.0,No,Typ,Gtl,0,0.0,1993,TA,Unf,255,906425045,8,0.0,0.0,TA,TA,0.0,AllPub,Unf,676.0,1900,0.0,0,484.0,0.0,3,831.0,614.0,TA,0,0.0,Fa,NA,Gd,3,2,676.0,2,TA,0,0.0,2010,0.0,1445.0,138500.0,6,NA,59.0,9.563458999712138,6.7226297948554485,7.275864600546533,11.83862560460953,110,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,6,0.0,IR1,1,16492.0,No,Mod,Gtl,1,0.0,2002,TA,Rec,138,535126040,6,0.0,0.0,Gd,Gd,247.0,AllPub,ALQ,557.0,1966,0.0,0,578.0,0.0,6,1888.0,0.0,TA,1,713.0,TA,NA,TA,2,2,1517.0,2,Ex,0,0.0,2010,0.0,1888.0,190000.0,6,Gd,0.0,9.71063069382679,7.543273346705446,7.543273346705446,12.154779351142624,44,8,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,6,0.0,Reg,1,3675.0,Gd,Typ,Gtl,0,0.0,2006,TA,Unf,2827,908186070,5,0.0,0.0,TA,TA,547.0,AllPub,GLQ,0.0,2005,82.0,1,525.0,0.0,6,1072.0,0.0,TA,0,0.0,Gd,NA,TA,2,2,547.0,2,Gd,0,0.0,2006,0.0,1072.0,140000.0,5,NA,44.0,8.209308411646937,6.977281341630747,6.977281341630747,11.84939770159144,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TA,5,0.0,IR1,1,12160.0,No,Typ,Gtl,0,0.0,1959,TA,Unf,145,535154050,5,0.0,0.0,TA,TA,1000.0,AllPub,Rec,188.0,1959,180.0,1,531.0,0.0,5,1188.0,0.0,TA,0,0.0,TA,NA,TA,3,1,1188.0,2,Fa,0,0.0,2010,0.0,1188.0,142000.0,6,NA,0.0,9.405907155520158,7.080026499922591,7.080026499922591,11.8635823365834,51,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TA,5,0.0,Reg,1,15783.0,No,Typ,Gtl,0,0.0,1952,TA,Unf,1942,535353130,5,0.0,0.0,TA,TA,292.0,AllPub,Rec,632.0,1952,0.0,0,420.0,0.0,6,924.0,0.0,TA,0,0.0,TA,NA,TA,2,1,924.0,1,TA,0,0.0,2007,400.0,924.0,112500.0,6,NA,324.0,9.666688690398916,6.828712071641684,6.828712071641684,11.630708500626612,55,55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
TA,5,0.0,IR1,1,11606.0,Av,Typ,Sev,2,335.0,1969,TA,Unf,1956,535426130,5,0.0,0.0,TA,Fa,650.0,AllPub,Rec,390.0,1969,192.0,0,504.0,0.0,9,1040.0,1040.0,TA,2,0.0,Gd,NA,TA,5,1,1040.0,2,TA,1,0.0,2007,0.0,2080.0,135000.0,9,TA,0.0,9.359277484750551,6.946975992135418,7.640123172695364,11.813030057420567,38,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
