ext_AsbShng,fireqc_NA,bmqual_TA,ltcfig_FR3,Year Remod/Add,SalePrice,ext_Stone,ext_HdBoard,rfstyle_Mansard,nhood_ClearCr,nhood_NoRidge,nhood_Veenker,mszone_RL,Gr Liv Area,nhood_Landmrk,PID,rfstyle_Hip,fence_NA,Half Bath,ltcfig_FR2,nhood_Mitchel,sltype_Con,bmqual_Gd,Exter Cond,Bedroom AbvGr,nhood_SawyerW,found_PConc,nhood_Crawfor,sltype_WD,rfstyle_Gambrel,Year Built,mvtype_BrkFace,bmexpo_NA,is_pave_alley,nhood_Gilbert,rfstyle_Gable,ext_CemntBd,Overall Qual,BsmtFin SF 1,nhood_MeadowV,sltype_Oth,log-Lot Area,ltcfig_Inside,heatqc_Gd,TotRms AbvGrd,sltype_ConLw,Kitchen AbvGr,heatqc_Po,Lot Area,sltype_CWD,nhood_StoneBr,nhood_OldTown,mszone_I,Yr Sold,ext_ImStucc,sltype_ConLD,at_least_avg_cond,Bsmt Full Bath,kthnqc_Fa,mszone_RH,near_offsite,nhood_CollgCr,Id,near_major_street,nhood_Sawyer,Garage Area,is_built_recently,is_reg_lot,ext_Stucco,ext_VinylSd,ext_BrkComm,has_garage,sltype_ConLI,fireqc_Fa,found_Slab,is_garage_finished,fence_GdWo,Bsmt Unf SF,nhood_SWISU,log-SalePrice,bmexpo_Mn,found_Stone,mszone_RM,nhood_Greens,nhood_Edwards,Low Qual Fin SF,mszone_FV,ldctour_Low,Screen Porch,has_std_cb,heatqc_TA,mvtype_Stone,yr_since_built,found_Wood,3Ssn Porch,nhood_Blueste,BsmtFin Type 1,heatqc_Fa,nhood_NWAmes,Total Bsmt SF,nhood_Somerst,kthnqc_TA,ext_MetalSd,ext_Plywood,2nd Flr SF,nhood_NPkVill,ext_Wd Sdng,fence_MnWw,Full Bath,nhood_Timber,nhood_BrkSide,rfstyle_Shed,Mo Sold,has_alley,mszone_C,ext_WdShing,fireqc_Gd,Garage Cars,bmqual_Fa,nhood_Names,Misc Val,Open Porch SF,fence_MnPrv,is_garage_attached,fireqc_TA,fireqc_Po,Exter Qual,Fireplaces,ext_AsphShn,bmqual_NA,BsmtFin SF 2,Bsmt Half Bath,is_remod_recently,ldctour_Lvl,nhood_IDOTRR,nhood_BrDale,mvtype_None,ldctour_HLS,kthnqc_Gd,yr_since_remod,has_aircon,ext_BrkFace,bmexpo_No,Mas Vnr Area,log-1st Flr SF,ext_CBlock,Enclosed Porch,1st Flr SF,BsmtFin Type 2,near_rail,nhood_GrnHill,found_CBlock,bmqual_Po,nhood_NridgHt,bmexpo_Gd,Wood Deck SF,Pool Area,sltype_New,ltcfig_CulDSac,log-Gr Liv Area
0,1,1,0,2005,130500.0,0,1,0,0,0,0,1,1479.0,0,533352170,0,1,1,0,0,0,0,3,3,0,0,0,1,0,1976,1,0,0,0,1,0,6,533.0,0,0,9.511703431483827,0,0,6,0,1,0,13517.0,0,0,0,0,2010,0,0,1,0,0,0,0,0,109,0,1,475.0,0,0,0,0,0,1,0,0,0,1,0,192.0,0,11.779128505744886,0,0,0,0,0,0.0,0,0,0.0,1,0,0,34,0,0.0,0,6,0,0,725.0,0,0,0,1,754.0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0.0,44.0,0,1,0,0,4,0,0,0,0.0,0,1,1,0,0,0,0,1,5,0,0,1,289.0,6.586171654854675,0,0.0,725.0,1,1,0,1,0,0,0,0.0,0.0,0,1,7.2991214627108
0,0,0,0,1997,220000.0,0,0,0,0,0,0,1,2122.0,0,531379050,0,1,1,0,0,0,1,3,4,1,1,0,1,0,1996,1,0,0,0,1,0,7,637.0,0,0,9.34940642009918,0,0,8,0,1,0,11492.0,0,0,0,0,2009,0,0,1,1,0,0,0,0,544,0,0,559.0,0,0,0,1,0,1,0,0,0,1,0,276.0,0,12.301382825334498,0,0,0,0,0,0.0,0,0,0.0,1,0,0,13,0,0.0,0,6,0,0,913.0,0,0,0,0,1209.0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0.0,74.0,0,1,1,0,4,1,0,0,0.0,0,0,1,0,0,0,0,1,12,0,0,1,132.0,6.816735880594968,0,0.0,913.0,1,0,0,0,0,0,0,0.0,0.0,0,1,7.660114319173928
0,1,1,0,2007,109000.0,0,0,0,0,0,0,1,1057.0,0,535304180,0,1,0,0,0,0,0,4,3,0,0,0,1,0,1953,0,0,0,0,1,0,5,731.0,0,0,8.977398978181862,1,0,5,0,1,0,7922.0,0,0,0,0,2010,0,0,1,1,0,0,0,0,153,0,0,246.0,0,1,0,1,0,1,0,0,0,0,0,326.0,0,11.59910316121128,0,0,0,0,0,0.0,0,0,0.0,1,1,0,57,0,0.0,0,6,0,0,1057.0,0,0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0,52.0,0,0,0,0,3,0,0,0,0.0,0,1,1,0,0,1,0,1,3,0,0,1,0.0,6.963189985870238,0,0.0,1057.0,1,0,0,1,0,0,0,0.0,0.0,0,0,6.963189985870238
0,1,0,0,2007,174000.0,0,0,0,0,0,0,1,1444.0,0,916386060,0,1,1,0,0,0,1,3,3,0,1,0,1,0,2006,0,0,0,0,1,0,5,0.0,0,0,9.190341725469493,1,1,7,0,1,0,9802.0,0,0,0,0,2010,0,0,1,0,0,0,0,0,318,0,0,400.0,1,1,0,1,0,1,0,0,0,1,0,384.0,0,12.066810578196666,0,0,0,0,0,0.0,0,0,0.0,1,0,0,4,0,0.0,0,1,0,0,384.0,0,1,0,0,700.0,0,0,0,2,1,0,0,4,0,0,0,0,2,0,0,0.0,0.0,0,1,0,0,3,0,0,0,0.0,0,1,1,0,0,1,0,0,3,0,0,1,0.0,6.612041034833092,0,0.0,744.0,1,0,0,0,0,0,0,100.0,0.0,0,0,7.275172319452771
0,1,0,0,1993,138500.0,0,0,0,0,0,0,1,1445.0,0,906425045,0,1,0,0,0,0,0,3,3,1,1,0,1,0,1900,0,0,0,0,1,0,6,0.0,0,0,9.563458999712138,1,0,6,0,1,0,14235.0,0,0,0,0,2010,0,0,1,0,0,0,0,0,255,0,0,484.0,0,0,0,0,0,1,0,0,0,0,0,676.0,0,11.83862560460953,0,0,0,0,0,0.0,0,0,0.0,1,1,0,110,0,0.0,0,1,0,0,676.0,0,1,0,1,614.0,0,1,0,2,0,0,0,3,0,0,0,0,2,1,0,0.0,59.0,0,0,0,0,3,0,0,0,0.0,0,0,1,0,0,1,0,0,17,0,0,1,0.0,6.7226297948554485,0,0.0,831.0,1,0,0,0,0,0,0,0.0,0.0,0,0,7.275864600546533
0,0,1,0,2002,190000.0,0,0,0,0,0,0,1,1888.0,0,535126040,0,1,1,0,0,0,0,3,2,0,0,0,1,0,1966,0,0,0,0,1,0,6,247.0,0,0,9.71063069382679,0,0,6,0,1,0,16492.0,0,0,0,0,2010,0,0,1,0,0,0,2,0,138,0,0,578.0,0,0,0,0,0,1,0,0,0,1,0,557.0,0,12.154779351142624,0,0,0,0,0,0.0,0,0,0.0,1,0,0,44,0,0.0,0,5,0,0,1517.0,0,0,0,1,0.0,0,0,0,2,0,0,0,6,0,0,0,1,2,0,1,0.0,0.0,0,1,0,0,4,1,0,0,713.0,0,1,1,0,0,1,0,1,8,0,1,1,0.0,7.543273346705446,0,0.0,1888.0,3,0,0,1,0,0,0,0.0,0.0,0,0,7.543273346705446
0,1,0,0,2006,140000.0,0,0,0,0,0,0,0,1072.0,0,908186070,0,1,0,0,0,0,1,3,2,0,1,0,0,0,2005,1,0,0,0,1,0,6,547.0,0,0,8.209308411646937,1,1,5,0,1,0,3675.0,0,0,0,0,2006,0,0,1,1,0,0,0,0,2827,0,0,525.0,1,1,0,1,0,1,0,0,0,1,0,0.0,0,11.84939770159144,0,0,1,0,1,0.0,0,0,0.0,1,0,0,1,0,0.0,0,6,0,0,547.0,0,1,0,0,0.0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0.0,44.0,0,0,0,0,3,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,82.0,6.977281341630747,0,0.0,1072.0,1,0,0,0,0,0,1,0.0,0.0,1,0,6.977281341630747
0,1,1,0,1959,142000.0,0,0,0,0,0,0,1,1188.0,0,535154050,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1959,1,0,0,0,0,0,5,1000.0,0,0,9.405907155520158,1,0,6,0,1,0,12160.0,0,0,0,0,2010,0,0,1,1,0,0,0,0,145,0,0,531.0,0,0,0,0,0,1,0,0,0,1,0,188.0,0,11.8635823365834,0,0,0,0,0,0.0,0,0,0.0,1,0,0,51,0,0.0,0,3,1,0,1188.0,0,1,0,1,0.0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,1,0.0,0.0,1,1,0,0,3,0,0,0,0.0,0,0,1,0,0,0,0,0,51,0,0,1,180.0,7.080026499922591,0,0.0,1188.0,1,0,0,1,0,0,0,0.0,0.0,0,0,7.080026499922591
0,1,1,0,1952,112500.0,0,0,0,0,0,0,1,924.0,0,535353130,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1952,0,0,0,0,1,0,5,292.0,0,0,9.666688690398916,1,0,6,0,1,0,15783.0,0,0,1,0,2007,0,0,1,0,0,0,0,0,1942,1,0,420.0,0,1,0,0,0,1,0,0,0,0,0,632.0,0,11.630708500626612,0,0,0,0,0,0.0,0,0,0.0,1,1,0,55,0,0.0,0,3,0,0,924.0,0,1,0,0,0.0,0,1,0,1,0,0,0,6,0,0,0,0,1,0,0,400.0,324.0,1,0,0,0,3,0,0,0,0.0,0,0,1,0,0,1,0,0,55,0,0,1,0.0,6.828712071641684,0,0.0,924.0,1,0,0,1,0,0,0,0.0,0.0,0,0,6.828712071641684
0,0,0,0,1969,135000.0,0,0,0,0,0,0,1,2080.0,0,535426130,0,1,2,0,0,0,1,3,5,0,1,0,1,0,1969,1,0,0,0,1,0,5,650.0,0,0,9.359277484750551,1,0,9,0,1,0,11606.0,0,0,0,0,2007,0,0,1,0,1,0,0,0,1956,0,0,504.0,0,0,0,0,0,1,0,0,0,0,0,390.0,0,11.813030057420567,0,0,0,0,0,0.0,0,0,0.0,1,1,0,38,0,0.0,0,3,0,0,1040.0,0,0,0,1,1040.0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,1,0.0,0.0,0,1,1,0,3,2,0,0,0.0,1,0,0,0,0,0,1,0,38,0,0,0,192.0,6.946975992135418,0,0.0,1040.0,1,0,0,0,0,0,0,335.0,0.0,0,0,7.640123172695364
0,1,1,0,1971,85400.0,0,1,0,0,0,0,0,987.0,0,527451290,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1971,1,0,0,0,1,0,6,387.0,0,0,7.426549072397305,1,0,4,0,1,0,1680.0,0,0,0,0,2008,0,0,1,0,0,0,0,0,1044,0,0,264.0,0,1,0,0,0,1,0,0,0,0,0,96.0,0,11.35510137977666,0,0,1,0,0,0.0,0,0,0.0,1,1,0,37,0,0.0,0,5,0,0,483.0,0,1,0,0,504.0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,3,0,0,0,0.0,0,0,1,0,1,0,0,0,37,0,0,1,232.0,6.180016653652572,0,0.0,483.0,1,0,0,1,0,0,0,0.0,0.0,0,0,6.894670039433482
0,1,0,0,2005,183600.0,0,0,0,0,0,0,1,1208.0,0,906380150,0,1,0,0,0,0,1,3,2,0,1,0,1,0,2005,0,0,0,0,1,0,7,393.0,0,0,8.921057018157429,1,0,6,0,1,0,7488.0,0,0,0,0,2006,0,0,1,0,0,0,0,1,2752,0,0,632.0,1,0,0,1,0,1,0,0,0,1,0,815.0,0,12.120514757168529,0,0,0,0,0,0.0,0,0,0.0,1,0,0,1,0,0.0,0,6,0,0,1208.0,0,0,0,0,0.0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0.0,58.0,0,1,0,0,4,0,0,0,0.0,0,1,1,0,0,1,0,1,1,0,0,0,0.0,7.0967213784947605,0,0.0,1208.0,1,0,0,0,0,0,0,105.0,0.0,0,0,7.0967213784947605
0,0,0,0,2007,131000.0,0,1,0,0,0,0,1,2016.0,0,906226060,0,1,0,1,0,0,0,3,4,1,1,0,1,0,1880,0,1,0,0,1,0,5,0.0,0,0,10.181119289134408,0,0,7,0,1,0,26400.0,0,0,0,0,2009,0,0,1,0,0,0,0,0,807,1,0,576.0,0,1,0,0,0,1,0,0,0,0,0,0.0,0,11.782952602183288,0,0,0,0,0,0.0,0,0,0.0,1,0,0,129,0,0.0,0,0,0,0,0.0,0,1,0,0,728.0,0,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0.0,0.0,0,1,1,0,4,1,0,1,0.0,0,1,0,0,0,1,0,0,2,0,0,0,0.0,7.160845906664299,0,0.0,1288.0,0,0,0,0,0,0,0,0.0,0.0,0,0,7.60887062919126
