Yr Sold,Garage Cond,SalePrice,2nd Flr SF,Exter Qual,Condition 2,Pool QC,Paved Drive,Half Bath,Exter Cond,Functional,Full Bath,MS SubClass,Electrical,Mas Vnr Type,Land Contour,Kitchen Qual,1st Flr SF,Garage Qual,Mo Sold,MS Zoning,Heating,BsmtFin Type 1,BsmtFin SF 2,Roof Matl,Total Bsmt SF,Low Qual Fin SF,Sale Type,Wood Deck SF,TotRms AbvGrd,Screen Porch,Garage Type,Neighborhood,Land Slope,BsmtFin Type 2,Heating QC,Condition 1,Bldg Type,PID,Fireplaces,Pool Area,Fence,Mas Vnr Area,Lot Config,Enclosed Porch,Central Air,Gr Liv Area,Street,Alley,Garage Cars,House Style,Misc Val,Bsmt Half Bath,Fireplace Qu,Garage Finish,Overall Qual,Id,Lot Area,Utilities,Year Remod/Add,Garage Area,Foundation,Year Built,Open Porch SF,Misc Feature,BsmtFin SF 1,3Ssn Porch,Exterior 1st,Roof Style,Bsmt Cond,Exterior 2nd,Bsmt Qual,Overall Cond,Kitchen AbvGr,Bsmt Unf SF,Lot Shape,Bsmt Full Bath,Bedroom AbvGr,Bsmt Exposure,log-Lot Area,log-1st Flr SF,log-Gr Liv Area,log-SalePrice
2010,3.0,130500.0,754.0,4,Norm,0,Y,1,3,8,2,60,SBrkr,BrkFace,Lvl,4,725.0,3,3,RL,GasA,6,0.0,CompShg,725.0,0.0,WD,0.0,6,0.0,Attchd,Sawyer,1,1,5,RRAe,1Fam,533352170,0,0.0,NA,289.0,CulDSac,0.0,Y,1479.0,Pave,NA,2,2Story,0.0,0,0,RFn,6,109,13517.0,4,2005,475.0,CBlock,1976,44.0,NA,533.0,0.0,HdBoard,Gable,3,Plywood,3,8,1,192.0,2,0,3,1,9.511703431483827,6.586171654854675,7.2991214627108,11.779128505744886
2009,3.0,220000.0,1209.0,4,Norm,0,Y,1,3,8,2,60,SBrkr,BrkFace,Lvl,4,913.0,3,4,RL,GasA,6,0.0,CompShg,913.0,0.0,WD,0.0,8,0.0,Attchd,SawyerW,1,1,5,Norm,1Fam,531379050,1,0.0,NA,132.0,CulDSac,0.0,Y,2122.0,Pave,NA,2,2Story,0.0,0,3,RFn,7,544,11492.0,4,1997,559.0,PConc,1996,74.0,NA,637.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,276.0,2,1,4,1,9.34940642009918,6.816735880594968,7.660114319173928,12.301382825334498
2010,3.0,109000.0,0.0,3,Norm,0,Y,0,4,8,1,20,SBrkr,None,Lvl,4,1057.0,3,1,RL,GasA,6,0.0,CompShg,1057.0,0.0,WD,0.0,5,0.0,Detchd,Names,1,1,3,Norm,1Fam,535304180,0,0.0,NA,0.0,Inside,0.0,Y,1057.0,Pave,NA,1,1Story,0.0,0,0,Unf,5,153,7922.0,4,2007,246.0,CBlock,1953,52.0,NA,731.0,0.0,VinylSd,Gable,3,VinylSd,3,7,1,326.0,1,1,3,1,8.977398978181862,6.963189985870238,6.963189985870238,11.59910316121128
2010,3.0,174000.0,700.0,3,Norm,0,Y,1,3,8,2,60,SBrkr,None,Lvl,3,744.0,3,4,RL,GasA,1,0.0,CompShg,384.0,0.0,WD,100.0,7,0.0,BuiltIn,Timber,1,1,4,Norm,1Fam,916386060,0,0.0,NA,0.0,Inside,0.0,Y,1444.0,Pave,NA,2,2Story,0.0,0,0,Fin,5,318,9802.0,4,2007,400.0,PConc,2006,0.0,NA,0.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,384.0,1,0,3,1,9.190341725469493,6.612041034833092,7.275172319452771,12.066810578196666
2010,3.0,138500.0,614.0,3,Norm,0,N,0,3,8,2,50,SBrkr,None,Lvl,3,831.0,3,3,RL,GasA,1,0.0,CompShg,676.0,0.0,WD,0.0,6,0.0,Detchd,SawyerW,1,1,3,Norm,1Fam,906425045,0,0.0,NA,0.0,Inside,0.0,Y,1445.0,Pave,NA,2,1.5Fin,0.0,0,0,Unf,6,255,14235.0,4,1993,484.0,PConc,1900,59.0,NA,0.0,0.0,Wd Sdng,Gable,4,Plywood,2,8,1,676.0,2,0,3,1,9.563458999712138,6.7226297948554485,7.275864600546533,11.83862560460953
2010,3.0,190000.0,0.0,4,Norm,0,Y,1,3,5,2,20,SBrkr,None,Lvl,4,1888.0,3,6,RL,GasA,5,713.0,CompShg,1517.0,0.0,WD,0.0,6,0.0,Attchd,Names,1,3,5,PosA,1Fam,535126040,1,0.0,NA,0.0,Corner,0.0,Y,1888.0,Pave,NA,2,1Story,0.0,0,4,Fin,6,138,16492.0,4,2002,578.0,CBlock,1966,0.0,NA,247.0,0.0,BrkFace,Gable,3,Plywood,3,6,1,557.0,2,0,2,1,9.71063069382679,7.543273346705446,7.543273346705446,12.154779351142624
2006,3.0,140000.0,0.0,3,Norm,0,Y,0,3,8,2,180,SBrkr,BrkFace,Lvl,3,1072.0,3,6,RM,GasA,6,0.0,CompShg,547.0,0.0,New,0.0,5,0.0,Basment,Edwards,1,1,4,Norm,TwnhsE,908186070,0,0.0,NA,82.0,Inside,0.0,Y,1072.0,Pave,NA,2,SFoyer,0.0,0,0,Fin,6,2827,3675.0,4,2006,525.0,PConc,2005,44.0,NA,547.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,0.0,1,1,2,4,8.209308411646937,6.977281341630747,6.977281341630747,11.84939770159144
2010,3.0,142000.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,BrkFace,Lvl,3,1188.0,3,5,RL,GasA,3,0.0,CompShg,1188.0,0.0,COD,0.0,6,0.0,Attchd,Names,1,1,2,Norm,1Fam,535154050,0,0.0,MnPrv,180.0,Inside,0.0,Y,1188.0,Pave,NA,2,1Story,0.0,0,0,RFn,5,145,12160.0,4,1959,531.0,CBlock,1959,0.0,NA,1000.0,0.0,Plywood,Hip,3,Plywood,3,5,1,188.0,2,1,3,1,9.405907155520158,7.080026499922591,7.080026499922591,11.863582336583399
2007,3.0,112500.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,None,Lvl,3,924.0,3,6,RL,GasA,3,0.0,CompShg,924.0,0.0,WD,0.0,6,0.0,Detchd,OldTown,1,1,3,Artery,1Fam,535353130,0,0.0,MnPrv,0.0,Inside,0.0,Y,924.0,Pave,NA,1,1Story,400.0,0,0,Unf,5,1942,15783.0,4,1952,420.0,CBlock,1952,324.0,Shed,292.0,0.0,Wd Sdng,Gable,3,Wd Sdng,3,5,1,632.0,1,0,2,1,9.666688690398917,6.828712071641684,6.828712071641684,11.630708500626612
2007,3.0,135000.0,1040.0,3,Norm,0,Y,2,3,8,1,60,SBrkr,BrkFace,HLS,2,1040.0,3,9,RL,GasA,3,0.0,CompShg,1040.0,0.0,WD,335.0,9,0.0,Attchd,Names,3,1,3,Norm,1Fam,535426130,2,0.0,NA,192.0,Inside,0.0,Y,2080.0,Pave,NA,2,2Story,0.0,1,3,Unf,5,1956,11606.0,4,1969,504.0,PConc,1969,0.0,NA,650.0,0.0,Plywood,Gable,3,Plywood,4,5,1,390.0,2,0,5,3,9.359277484750553,6.946975992135418,7.640123172695364,11.813030057420567
